Log Temuan,Kategori,Prediksi,Confidence,Benar,Prob_Fatal,Prob_Mayor,Prob_Minor,Prob_Kosmetik
1. Terdapat perubahan ID Informasi Penyimpangan dan nama LJK ketika menyimpan&nbsp;data&nbsp;baru<br><br>2. Terdapat perubahan ID Informasi Penyimpangan dan nama LJK ketika approval data,Mayor,Mayor,0.7588,True,0.0041,0.7588,0.1897,0.0474
Audit Trail Status Report (dokumen yang diunggah) belum ada,Mayor,Mayor,0.905,True,0.0063,0.905,0.0716,0.0172
Audit Trail Status Report (dokumen yang diunggah) belum ada,Mayor,Mayor,0.905,True,0.0063,0.905,0.0716,0.0172
"Saat set tanggal awal lebih besar dari tanggal akhir, muncul pesan error. Berlaku pada menu aktivitas pengguna dan email keluar",Mayor,Mayor,0.7511,True,0.0159,0.7511,0.2162,0.0169
Korepondensi seharusnya Korespondensi,Kosmetik,Kosmetik,0.3584,True,0.0093,0.3372,0.295,0.3584
<b>nama file</b> yang terdownload tidak sesuai,Kosmetik,Minor,0.7022,False,0.0049,0.2099,0.7022,0.083
"1. <b>waktu</b> pada halaman Detail tidak tampil
<br><br>2. progress yang ditambahkan melalui edit data tidak tersimpan",Mayor,Mayor,0.8849,True,0.0074,0.8849,0.1017,0.006
"1. ketika upload satu file lampiran naskah dinas formatnya berubah menjadi zip,&nbsp;'namun hanya file dengan extension yang sama dengan file yang diupload yang dapat dibuka<br><br>2. file lampiran naskah dinas hasil download error",Mayor,Mayor,0.8827,True,0.0087,0.8827,0.1036,0.005
file lampiran naskah dinas hasil download error,Mayor,Mayor,0.856,True,0.0396,0.856,0.0782,0.0261
"<b style=""font-size: 11.36px;"">nama file</b>&nbsp;<b>Naskah Dinas</b> yang terdownload tidak sesuai",Kosmetik,Minor,0.5944,False,0.0036,0.3447,0.5944,0.0573
"Typo pada sub judul ""Taskist"", seharusnya ""Tasklist"". (SS)",Kosmetik,Kosmetik,0.9406,True,0.0051,0.0089,0.0454,0.9406
Testing 2a123,Fatal,Minor,0.4552,False,0.0218,0.3864,0.4552,0.1366
"Setelah simpan draft, button untuk aksi tidak muncul secara otomatis. (SS)<br><br>Mohon disesuaikan untuk sektor ASJI juga.",Minor,Minor,0.5835,True,0.0156,0.3864,0.5835,0.0145
Nama file hasil export typo pada kata enhancement,Minor,Kosmetik,0.9467,False,0.0034,0.013,0.037,0.9467
tesgr<br><br>ok<br><br><b>CD-3/MS.132/2025</b><br>Penyampaian Hasil&nbsp;System Integration Test&nbsp;(SIT) Sistem Informasi Penanganan Dugaan Pelanggaran <i>(SIPEDANG) tse<br>se semua</i>,Fatal,Minor,0.5926,False,0.0211,0.239,0.5926,0.1473
"Ketika memilih periode yang sama, terdapat output status yang berbeda. (SS)
<br><br>Status <b>Audited</b> akan tertampil ke field yang dipilih lebih dulu, setelah data yg sama dipilih kembali, status berubah menjadi <b>Unaudited</b>.",Mayor,Minor,0.5519,False,0.0092,0.4228,0.5519,0.0161
"Pada tab Analisis Kepatuhan di bagian '<b>Analisis Umum', 'Analisis Subtantif', 'Analisis Ketaatan' </b>terdapat data-data redundan / double. (SS)
<br><br>Mohon disesuaikan juga untuk ASJI.",Minor,Mayor,0.6641,False,0.0078,0.6641,0.2719,0.0563
"Typo pada tab Investasi pada bagian Grafik Investasi ""Protofolio"", seharusnya ""Portofolio""",Kosmetik,Kosmetik,0.8463,True,0.0047,0.0465,0.1025,0.8463
Terdapat duplicate data pada bagian excel dimana ada 2 tagihan klaim koasuransi,Minor,Mayor,0.4917,False,0.01,0.4917,0.3554,0.1429
