Log Temuan,Kategori,cleaned_text
"1. Saat klik reset, input tahun tidak ikut ter reset (gambar 1)<br><br>2. setelah input semua field &gt; kemudian klik reset &gt; kemudian klik simpan (kondisi hanya input ""cakupan pemeriksaan""), data berhasil tersimpan meski beberapa field masih kosong. dan yang tersimpan data sebelum reset (gambar 2)<br><br>3. <b>Sandi KAP</b> tidak auto terisi (gambar 5)<br>",Mayor,1 saat klik reset masukan tahun tidak ikut ter reset gambar 1 [html_tag] [html_tag] 2 setelah masukan semua field [html_tag] kemudian klik reset [html_tag] kemudian klik simpan kondisi hanya masukan cakupan pemeriksaan data berhasil tersimpan meski beberapa field masih kosong dan yang tersimpan data sebelum reset gambar 2 [html_tag] [html_tag] 3 [html_tag] sandi kap [html_tag] tidak auto terisi gambar 5 [html_tag]
1. tidak ada kolom Sektor pada mockup<br><br>2. tidak ada filter Sektor pada Detail Risiko Bawaan<br><br>3. belum ada button Kembali ke Halaman Sebelumnya<br>,Mayor,1 tidak ada kolom sektor pada mockup [html_tag] [html_tag] 2 tidak ada filter sektor pada detail risiko bawaan [html_tag] [html_tag] 3 belum ada button kembali ke halaman sebelumnya [html_tag]
"Saat klik reset, input tahun tidak ikut ter reset<br>",Mayor,saat klik reset masukan tahun tidak ikut ter reset [html_tag]
1. keterangan error saat gagal edit data belum sesuai (gambar 1)<br><br>2. belum ada keterangan penyebab gagal edit saat mengosongkan field (gambar 1)<br>,Minor,1 keterangan error saat gagal edit data belum sesuai gambar 1 [html_tag] [html_tag] 2 belum ada keterangan penyebab gagal edit saat mengosongkan field gambar 1 [html_tag]
belum ada delete button<br>,Mayor,belum ada delete button [html_tag]
Tampilan form tambah &amp; edit belum sesuai mockup<br>,Minor,tampilan form tambah [html_tag] edit belum sesuai mockup [html_tag]
Urutan list data tabel pada hasil export excel tidak sesuai aplikasi<br>,Minor,urutan list data tabel pada hasil export excel tidak sesuai aplikasi [html_tag]
1. text belum sesuai mockup (gambar 1)<br><br>2. text pada tabel belum sesuai struktur data (gambar 2)<br><br>3. buat header tabel rata tengah<br>,Kosmetik,1 text belum sesuai mockup gambar 1 [html_tag] [html_tag] 2 text pada tabel belum sesuai struktur data gambar 2 [html_tag] [html_tag] 3 buat header tabel rata tengah [html_tag]
"Informasi teknis builder web tidak dibutuhkan, sebaiknya di takeout. (SS)",Kosmetik,informasi teknis builder web tidak dibutuhkan sebaiknya di takeout ss
belum ada tanda mandatory (*)<br>,Kosmetik,belum ada tanda mandatory [html_tag]
terdapat perbedaan nama kolom antara struktur data dan aplikasi<br>,Kosmetik,terdapat perbedaan nama kolom antara struktur data dan aplikasi [html_tag]
Fitur sorting error (gambar 1)<br>,Mayor,fitur sorting error gambar 1 [html_tag]
1. tidak ada kolom Sektor pada mockup<br><br>2. tidak ada filter Sektor pada Detail Risiko Bawaan<br>,Minor,1 tidak ada kolom sektor pada mockup [html_tag] [html_tag] 2 tidak ada filter sektor pada detail risiko bawaan [html_tag]
belum ada delete button<br>,Mayor,belum ada delete button [html_tag]
"1. Saat klik reset, input tahun tidak ikut ter reset (gambar 1)
<br><br>2. setelah input semua field &gt; kemudian klik reset &gt; kemudian klik simpan, data berhasil tersimpan meski beberapa field masih kosong (gambar 2)<br>",Mayor,1 saat klik reset masukan tahun tidak ikut ter reset gambar 1 [html_tag] [html_tag] 2 setelah masukan semua field [html_tag] kemudian klik reset [html_tag] kemudian klik simpan data berhasil tersimpan meski beberapa field masih kosong gambar 2 [html_tag]
"pada list dropdown status tidak ada status ""Tidak Aktif Sementara"" padahal pada data terdapat data dengan status ""Tidak Aktif Sementara""<br>",Mayor,pada list dropdown status tidak ada status tidak aktif sementara padahal pada data terdapat data dengan status tidak aktif sementara [html_tag]
"Saat klik reset, input tahun tidak ikut ter reset<br>",Mayor,saat klik reset masukan tahun tidak ikut ter reset [html_tag]
"pada list dropdown status tidak ada status ""Tidak Aktif Sementara"" padahal pada data terdapat data dengan status ""Tidak Aktif Sementara""<br>",Mayor,pada list dropdown status tidak ada status tidak aktif sementara padahal pada data terdapat data dengan status tidak aktif sementara [html_tag]
belum ada keterangan penyebab gagal edit saat mengosongkan field (gambar 1)<br>,Minor,belum ada keterangan penyebab gagal edit saat mengosongkan field gambar 1 [html_tag]
Tampilan form tambah &amp; edit belum sesuai mockup<br>,Minor,tampilan form tambah [html_tag] edit belum sesuai mockup [html_tag]
Urutan list data tabel pada hasil export excel tidak sesuai aplikasi<br>,Minor,urutan list data tabel pada hasil export excel tidak sesuai aplikasi [html_tag]
"Tombol Download berantakan, tidak rata baik komponen semua, atau semua industri&nbsp;",Kosmetik,tombol download berantakan tidak rata baik komponen semua atau semua industri [html_tag]
tulisannya masih SIPM Fixed Report dll. belum sesuai dengan nama aplikasi saat ini (SIPKK),Mayor,tulisan nya masih sipm fixed report dll belum sesuai dengan nama aplikasi saat ini sipkk
"Idealnya tab username, password dan captcha kosong. Kondisi existing sudah terisi (SS). Kondisi idealnya harusnya (SS1)<br>",Kosmetik,ideal nya tab username password dan captcha kosong kondisi existing sudah terisi ss kondisi ideal nya harusnya ss 1 [html_tag]
saat di klik belum berfungsi,Mayor,saat di klik belum berfungsi
"1. Jumlah pada tabel ""Data rekapitulasi informasi risk asesmen KAP"" seharusnya hanya mengambil berdasarkan data 6 tahun terakhir di tabel ""Data Riwayat Pemeriksaan KAP"" (Gambar 1)<br><br>2. Beberapa KAP pada kolom ""Kepatuhan"" masih belum menampilkan jumlah yang sesuai (gambar 2)<br><br>3. Jika datanya kosong, data tertulis berbeda, ada yang - atau 0 (gambar 3)<br><br>4. data pada kolom ""Sanksi administrasi"" belum sesuai (gambar 4)<br>",Mayor,1 jumlah pada tabel data rekapitulasi informasi risk asesmen kap seharusnya hanya mengambil berdasarkan data 6 tahun terakhir di tabel data riwayat pemeriksaan kap gambar 1 [html_tag] [html_tag] 2 beberapa kap pada kolom kepatuhan masih belum menampilkan jumlah yang sesuai gambar 2 [html_tag] [html_tag] 3 jika data nya kosong data tertulis berbeda ada yang atau 0 gambar 3 [html_tag] [html_tag] 4 data pada kolom sanksi administrasi belum sesuai gambar 4 [html_tag]
notif gagal import dimohon untuk menggunakan Bahasa Indonesia<br>,Kosmetik,notif gagal import dimohon untuk menggunakan bahasa indonesia [html_tag]
"Fungsi pagination belum sesuai, mohon dicek kembali, cek semua pagination apda setiap menu",Mayor,fungsi pagination belum sesuai mohon dicek kembali cek semua pagination apda setiap menu
"Ketika pilih pada Page Size, tampil Internal Server Error",Mayor,ketika pilih pada page size tampil internal server error
Typo di header<br><br>Adjust ke semua risiko<br><br>Adjust ke export PDF dan excel,Kosmetik,typo di header [html_tag] [html_tag] adjust ke semua risiko [html_tag] [html_tag] adjust ke export pdf dan excel
"1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut (SS1, SS2)<br><br>Adjust ke export PDF dan excel",Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut ss 1 ss 2 [html_tag] [html_tag] adjust ke export pdf dan excel
1. Fitur search error (gambar 1)<br><br>2. Hasil search tidak sesuai input (gambar 2)<br>,Mayor,1 fitur search error gambar 1 [html_tag] [html_tag] 2 hasil search tidak sesuai masukan gambar 2 [html_tag]
"Ketika klik Delete, tidak ada respon apaun dari server",Mayor,ketika klik delete tidak ada respon apaun dari server
Saat merubah Perusahaan dan periode laporan muncul error seperti pada ss,Fatal,saat merubah perusahaan dan periode laporan muncul error seperti pada ss
harusnya pada drafter belum ada tombol SETUJUI,Mayor,harusnya pada drafter belum ada tombol setujui
"Posisi saat ini sedang review, namun pada tabel Konseptor, list adanya drafter dan approver, dan username belum sesuai. cek lampiran",Mayor,posisi saat ini sedang review namun pada tabel konseptor list ada nya drafter dan approver dan username belum sesuai cek lampiran
"1. Field mandatory belum diberikan simbol&nbsp;<b>* (lakukan untuk semua field yang mandatory)</b><br>2. saat tambah data, reset tidak mereset sektor<br>3. klik detail data, pilih salah satu data, lalu klik ubah data, notifikasi pada kata di ubah harusnya <b>diubah</b><br>4. Field mandatory pada <b>tambah data</b> belum diberikan simbol <b>*</b><br>5. Saat tambah data, notifikasi pada kata di tambahkan seharusnya <b>ditambahkan</b>",Minor,1 field mandatory belum diberikan simbol [html_tag] [html_tag] lakukan untuk semua field yang mandatory [html_tag] [html_tag] 2 saat tambah data reset tidak mereset sektor [html_tag] 3 klik detail data pilih salah satu data lalu klik ubah data notifikasi pada kata di ubah harusnya [html_tag] diubah [html_tag] [html_tag] 4 field mandatory pada [html_tag] tambah data [html_tag] belum diberikan simbol [html_tag] [html_tag] [html_tag] 5 saat tambah data notifikasi pada kata di tambahkan seharusnya [html_tag] ditambahkan [html_tag]
"1. Konten rasio blm sesuai dengan template (SS)<br><br>2. Numbering blm urut (SS1, SS2)<br><br>Adjust ke export PDF dan excel",Minor,1 konten rasio belum sesuai dengan template ss [html_tag] [html_tag] 2 numbering belum urut ss 1 ss 2 [html_tag] [html_tag] adjust ke export pdf dan excel
"Saat berhasil menambahkan data, notifikasi pada kata di tambahkan harusnya&nbsp;<b>ditambahkan</b>",Kosmetik,saat berhasil menambahkan data notifikasi pada kata di tambahkan harusnya [html_tag] [html_tag] ditambahkan [html_tag]
"ketika mau ajukan proses, tampil modal ajukan proses, namun tulisan AJUKAN APPROVER atau AJUKAN CHECKER tidak utuh (bertumpuk dengan radio button)",Minor,ketika mau ajukan proses tampil modal ajukan proses namun tulisan ajukan approver atau ajukan checker tidak utuh bertumpuk dengan radio button
"Ketika klik Delete, tidak ada respon apapun dari server",Mayor,ketika klik delete tidak ada respon apapun dari server
Semua fungsi filter tidak berjalan. Muncul notif error (SS).&nbsp;<br><br>Adjust ke export PDF dan excel,Mayor,semua fungsi filter tidak berjalan muncul notif error ss [html_tag] [html_tag] [html_tag] adjust ke export pdf dan excel
Kolom riwayat konseptor harusnya engga bisa diisi (SS)<br><br>Adjust ke export PDF dan excel,Minor,kolom riwayat konseptor harusnya engga bisa diisi ss [html_tag] [html_tag] adjust ke export pdf dan excel
"Drafter submited ke checker, klik export PDF/excel muncul error (SS)",Fatal,drafter submited ke checker klik export pdf excel muncul error ss
"1. Kalo udh submited dr drafter, harusnya konseptor disini akan diisi detail role yg akan bekerja (tp ini yg ke record cuma drafter &amp; approver), checkernya ilang (SS)<br><br>2. Typo (SS1)<br><br>Adjust ke export PDF dan excel",Minor,1 kalau sudah submited dari drafter harusnya konseptor disini akan diisi detail role yang akan bekerja tapi ini yang ke record hanya drafter [html_tag] approver checkernya ilang ss [html_tag] [html_tag] 2 typo ss 1 [html_tag] [html_tag] adjust ke export pdf dan excel
"Ajukan Proses > Ajukan Checker > Klik Pilih, modal tampil dibelakang modal Ajukan Proses",Mayor,ajukan proses ajukan checker klik pilih modal tampil dibelakang modal ajukan proses
"tanggal penunjukan, antara tanggal dan jam belum terdapat pemisah, kasih jarak atau separator",Kosmetik,tanggal penunjukan antara tanggal dan jam belum terdapat pemisah kasih jarak atau separator
"1. Penamaan PIC sektor tidak konsisten (IKNB)<br><br>2. Ketika melakuan filter data IKNB, data tidak muncul dikarenakan penamaan tidak konsisten<br>",Mayor,1 penamaan pic sektor tidak konsisten iknb [html_tag] [html_tag] 2 ketika melakuan filter data iknb data tidak muncul dikarenakan penamaan tidak konsisten [html_tag]
