Log Temuan,Kategori
"1. Saat klik reset, input tahun tidak ikut ter reset (gambar 1)<br><br>2. setelah input semua field &gt; kemudian klik reset &gt; kemudian klik simpan (kondisi hanya input ""cakupan pemeriksaan""), data berhasil tersimpan meski beberapa field masih kosong. dan yang tersimpan data sebelum reset (gambar 2)<br><br>3. <b>Sandi KAP</b> tidak auto terisi (gambar 5)<br>",Mayor
1. tidak ada kolom Sektor pada mockup<br><br>2. tidak ada filter Sektor pada Detail Risiko Bawaan<br><br>3. belum ada button Kembali ke Halaman Sebelumnya<br>,Mayor
"Saat klik reset, input tahun tidak ikut ter reset<br>",Mayor
1. keterangan error saat gagal edit data belum sesuai (gambar 1)<br><br>2. belum ada keterangan penyebab gagal edit saat mengosongkan field (gambar 1)<br>,Minor
belum ada delete button<br>,Mayor
Tampilan form tambah &amp; edit belum sesuai mockup<br>,Minor
Urutan list data tabel pada hasil export excel tidak sesuai aplikasi<br>,Minor
1. text belum sesuai mockup (gambar 1)<br><br>2. text pada tabel belum sesuai struktur data (gambar 2)<br><br>3. buat header tabel rata tengah<br>,Kosmetik
"Informasi teknis builder web tidak dibutuhkan, sebaiknya di takeout. (SS)",Kosmetik
belum ada tanda mandatory (*)<br>,Kosmetik
terdapat perbedaan nama kolom antara struktur data dan aplikasi<br>,Kosmetik
Fitur sorting error (gambar 1)<br>,Mayor
1. tidak ada kolom Sektor pada mockup<br><br>2. tidak ada filter Sektor pada Detail Risiko Bawaan<br>,Minor
belum ada delete button<br>,Mayor
"1. Saat klik reset, input tahun tidak ikut ter reset (gambar 1)
<br><br>2. setelah input semua field &gt; kemudian klik reset &gt; kemudian klik simpan, data berhasil tersimpan meski beberapa field masih kosong (gambar 2)<br>",Mayor
"pada list dropdown status tidak ada status ""Tidak Aktif Sementara"" padahal pada data terdapat data dengan status ""Tidak Aktif Sementara""<br>",Mayor
"Saat klik reset, input tahun tidak ikut ter reset<br>",Mayor
"pada list dropdown status tidak ada status ""Tidak Aktif Sementara"" padahal pada data terdapat data dengan status ""Tidak Aktif Sementara""<br>",Mayor
belum ada keterangan penyebab gagal edit saat mengosongkan field (gambar 1)<br>,Minor
