Log Temuan,Kategori
nama laporan belum sesuai dengan yg di strukdat,Mayor
nama2 terkait laporan setiap formnya disesuaikan dengan yg ada di template,Mayor
Nama - nama terkait laporan setiap formnya disesuaikan dengan yang ada di tamplate,Mayor
"1) tidak ada spasi2) tanda sama dengan \""=\"" double3) muncul rumus \""+ pos penambahan (jika ada)\""4) nomor tidak berurut",Minor
"1) Panjang maximum tidak sesuai2) Tanda sama dengan ""="" double3) Pada penulisan penjumlahan menggunakan "",""4) Pada strukdat tidak ada keterangan kalau penjumlahan kompenen a dengan komponen b",Mayor
nama kolom tidak sesuai dengan strukdat,Mayor
1) Panjang maksimum tidak sesuai strukdat2) baris 18 dan 20 tidak muncul log error,Mayor
1. tolong konsisten untuk pesan error terkait penjumlahan. disepakati terkait dengan penjumlahan maka akan menggunakan tanda +2. tolong konsisten untuk tanda = cukup muncul 1 aja di penjumlahan,Minor
1. data antara template dengan txt berbeda,Fatal
"1) Nama kolom tidak sesuai dengan strukdat2) tanda sama dengan ""="" double",Mayor
"1) Panjang Maximum tidak sesuai2) Pada hasil log error Tanda ""="" double mohon disesuaikan untuk semua hasil log error3) Muncul rumus ""penambahan pos jika ada""4) Pada baris 12 kode komponen 020201010300000000 tidak ada rumus ""penambahan pos jika ada""5) Pada penjumlahan hasil log error  masih menggunakan "","" seharusnya menggunakan tanda ""+"" mohon disesuaikan pada semua hasil log error",Mayor
"1) Pada nama pos hasil log error tidak sesuai dengan strukdat2) Panjang maximum tidak sesuai 3) Tanda ""="" double 4) Muncul rumus ""penambahan pos jika ada""",Mayor
"1. Tanda = ada double2. Kode komponen 010201090000000000hanya penjumlahan 3 kolom, tp yg muncul 4 kolom. Seharusnya pos penambahan (jika ada) tidak perlu ada. check ke kode komponen lainnya, krn masih tercantum kalimat tsb3. Labeling di kode komponen 010202010200000000 blm sesuai4.Labeling di kode komponen 010202011400000000 blm sesuai5. Labeling di kode komponen 010202020100000000 blm sesuai6.  Labeling di kode komponen 010202020200000000 blm sesuai7.  Labeling di kode komponen 010202020300000000 blm sesuai8. Labeling di kode komponen 010202020700000000 blm sesuai9. Labeling di kode komponen 010202020800000000 blm sesuai10. Labeling di kode komponen 010202020900000000 blm sesuai11. Label di kode komponen 010202021100000000 blm sesuai12. Label di kode komponen 010202030000000000 blm sesuai13. pesan error terkait karakter redunden untuk semua kode komponen",Mayor
"pada hasil log error muncul keterangan hanya header, tetapi pada strukdat terdapat penyesuaian panjang max pada stuktur detail",Mayor
"1) nama kolom 3 dan 5 pada client tidak sesuai strukdat2) panjang max pada persentase tidak sesuai strukdat3) kolom negara kategorinya hanya angka tapi saat dites angka&huruf tetap lolos validasi, tidak ada pesan error ""hanya angka""4) kolom nama kategorinya angka huruf, tapi dites isi karakter saja tetap lolos validasi5) di txt ada kolom ""keterangan"" sedangkan di strukdat tidak ada kolom keterangan dan saat dites panjang max muncul log errornya6) keterangannya tidak sesuai referensi",Mayor
"1) Panjang Maximum belum sesuai2) Pada nama pos tidak ada spasi3) Pada penulisan bulan masih digabung4) Perbedaan penulisan pada hasil log error ""Mudharabah""sedangkan pada strukdat ""Mudarabah""5) Pada penambahan nama pos ""Piutang Lainnya"" dan ""Ijarah"" belum ada pada hasil log error6) Perbedaan penulisan pada hasil log error "" Pembiayaan Sewa"" sedangkan pada strukdat ""Piutang Sewa"" 7) Pada penambahan nama pos ""Lainnya""belum ada pada hasil log error8) Pada penulisan jenis pengimpunan/penyaluran dana berbeda pada hasil log error dan strukdat9) Pada pesan validasinya untuk nama pos masih ke detect kolom yang berwarna merah, sedangkan isi txt nya sudah sesuai sama strukdatnya",Mayor
"1. Harap konsisten untuk memunculkan pesan error 2. terdapat = double di semua kode komponen, tolong konsisten hasil yg benarnya3. pada rumus blm ada spasi sehingga semua kata masih gabung 4. kode komponen 020201010101020000 blm sesuai karena seharusnya yg benar Mudarabah5. rumus pada kode komponen 020201010200000000 blm sesuai strukdat6. rumus pada kode komponen 020201010300000000 blm sesuai strukdat7. rumus pada kode komponen 020201020300000000 blm sesuai strukdat + kata2 di rumus blm ada spasi8. rumus pada kode komponen 020206020000000000 blm sesuai strukdat9. rumus pada kode komponen 020206030000000000 blm sesuai strukdat",Mayor
1. nama kolom blm sesuai strukdat2. rumus pada kode komponen 060201010202020000 blm sesuai srtukdat3.blm ada rumus yg sesuai strukdat pada kode komponen 060202000000000000,Mayor
"pada hasil log error muncul keterangan hanya header, tetapi pada strukdat terdapat penyesuaian",Mayor
"Pada baris 15 (010201140000000000), baris 27 (010202230000000000), dan baris 28 (010202240000000000)  tidak ada rumus ""pos penambahan jika ada""",Mayor
data di strukdat dengan txt beda,Fatal
Data pada strukdat dengan txt belum sesuai,Fatal
data di strukdat dengan txt beda,Fatal
data di strukdat dengan txt beda,Fatal
kode komponen tidak sesuai,Fatal
Pada Jumlah kolom strukdat dengan txt belum sesuai,Mayor
Pada kode komponen dan nama pos belum sesuai dengan strukdat dan tamplate,Mayor
"Pada hasil generate tidak ada \"".\"" dibelakang titik dan angka berbeda dengan template",Mayor
"1. Label kolom tidak sesuai dengan strukdat2. Nama kolom tidak sesuai dengan strukdat3 panjang kolom tidak sesuai dengan strukdat4. nama komponen masih banyak yg typo ga sesuai, make sure ke template5. pesan error pada kode komponen 090203110000000000 blm ada 6. rumus pada kode komponen 090202050000000000 blm sesuai7. label pada kode komponen 090204060000000000 blm sesuai8. panjang maksimal & nama kolom & label kolom blm sesuai strukdat",Mayor
"Pada hasil generate tidak ada \"".\"" dibelakang titik dan jumlah total berbeda dengan tamplate",Mayor
1. Label nama kolom blm sesuai strukdat 2.label seharunya jumlah pihak terkait make sure client sudah sesuai dengan strukdat sehingga minimalisir perbedaan rumus yg terlalu signifikan,Mayor
Perhatikan perbedaan antara penjumlahan rumus antar kolom dan baris. Tolong lebih teliti dalam memahami temuannya1. Labeling di kode komponen 050201060303000000 blm sesuai2. Labeling di kode komponen 050201070000000000blm sesuai3. Labeling di kode komponen 050201090000000000 blm sesuai4. label dan rumus di kode komponen 050202000000000000 blm sesuai5. Labeling di kode komponen 050202010000000000 blm sesuai6. Labeling di kode komponen 050202101000000000 blm sesuai7. Labeling di kode komponen 050202102000000000 blm sesuai8. Labeling di kode komponen 050202040000000000 blm sesuai9. Labeling di kode komponen 050202050000000000 blm sesuai10. Labeling di kode komponen 050202060000000000 blm sesuai11. Labeling di kode komponen 050202070000000000 blm sesuai12. Labeling di kode komponen 050202080000000000 blm sesuai13. Labeling di kode komponen 050202090000000000 blm sesuai14. Rumus di kode komponen 050203010000000000 blm sesuai,Mayor
Pada kolom hasil log error belum sesuai dengan strukdat,Mayor
"1. hasil generate tidak sesuai (pada template value berupa nilai decimal)2. terdapat kata ""Catatan:"" didalam Kolom Catatan3.bagian judul kolom ""Pos-Pos"" harus di merge dengan row dibawahnya4. terdapat simbol-simbol yang tidak relevan pada penamaan kolom5. nama pos tidak sesuai dengan template6. nama pos tidak sesuai dengan template7. nama pos tidak sesuai dengan template8. pada field dropdown masih berbeda dengan judul Form 02B9. pada hasil download excel, kolom isi catatan tidak sejajar10. pada hasil download pdf, label dengan tabel terlalu nempel di hal. 2-4",Minor
