Log Temuan,Kategori,cleaned_text
nama laporan belum sesuai dengan yg di strukdat,Mayor,nama laporan belum sesuai struktur data
nama2 terkait laporan setiap formnya disesuaikan dengan yg ada di template,Mayor,nama 2 terkait laporan formnya sesuaikan template
Nama - nama terkait laporan setiap formnya disesuaikan dengan yang ada di tamplate,Mayor,nama nama terkait laporan formnya sesuaikan tamplate
"1) tidak ada spasi2) tanda sama dengan \""=\"" double3) muncul rumus \""+ pos penambahan (jika ada)\""4) nomor tidak berurut",Minor,1 tidak spasi 2 tanda double 3 muncul rumus pos penambahan 4 nomor tidak berurut
"1) Panjang maximum tidak sesuai2) Tanda sama dengan ""="" double3) Pada penulisan penjumlahan menggunakan "",""4) Pada strukdat tidak ada keterangan kalau penjumlahan kompenen a dengan komponen b",Mayor,1 maximum tidak sesuai 2 tanda double 3 penulisan penjumlahan menggun 4 struktur data tidak terangan penjumlahan kompenen komponen
nama kolom tidak sesuai dengan strukdat,Mayor,nama kolom tidak sesuai struktur data
1) Panjang maksimum tidak sesuai strukdat2) baris 18 dan 20 tidak muncul log error,Mayor,1 maksimum tidak sesuai struktur data 2 baris 18 20 tidak muncul log error
1. tolong konsisten untuk pesan error terkait penjumlahan. disepakati terkait dengan penjumlahan maka akan menggunakan tanda +2. tolong konsisten untuk tanda = cukup muncul 1 aja di penjumlahan,Minor,1 tolong konsisten pesan error terkait penjumlahan sepakati terkait penjumlahan menggun tanda 2 tolong konsisten tanda muncul 1 penjumlahan
1. data antara template dengan txt berbeda,Fatal,1 data template txt berbeda
"1) Nama kolom tidak sesuai dengan strukdat2) tanda sama dengan ""="" double",Mayor,1 nama kolom tidak sesuai struktur data 2 tanda double
"1) Panjang Maximum tidak sesuai2) Pada hasil log error Tanda ""="" double mohon disesuaikan untuk semua hasil log error3) Muncul rumus ""penambahan pos jika ada""4) Pada baris 12 kode komponen 020201010300000000 tidak ada rumus ""penambahan pos jika ada""5) Pada penjumlahan hasil log error  masih menggunakan "","" seharusnya menggunakan tanda ""+"" mohon disesuaikan pada semua hasil log error",Mayor,1 maximum tidak sesuai 2 hasil log error tanda double sesuaikan hasil log error 3 muncul rumus penambahan pos 4 baris 12 kode komponen 020201010300000000 tidak rumus penambahan pos 5 penjumlahan hasil log error menggun menggun tanda sesuaikan hasil log error
"1) Pada nama pos hasil log error tidak sesuai dengan strukdat2) Panjang maximum tidak sesuai 3) Tanda ""="" double 4) Muncul rumus ""penambahan pos jika ada""",Mayor,1 nama pos hasil log error tidak sesuai struktur data 2 maximum tidak sesuai 3 tanda double 4 muncul rumus penambahan pos
"1. Tanda = ada double2. Kode komponen 010201090000000000hanya penjumlahan 3 kolom, tp yg muncul 4 kolom. Seharusnya pos penambahan (jika ada) tidak perlu ada. check ke kode komponen lainnya, krn masih tercantum kalimat tsb3. Labeling di kode komponen 010202010200000000 blm sesuai4.Labeling di kode komponen 010202011400000000 blm sesuai5. Labeling di kode komponen 010202020100000000 blm sesuai6.  Labeling di kode komponen 010202020200000000 blm sesuai7.  Labeling di kode komponen 010202020300000000 blm sesuai8. Labeling di kode komponen 010202020700000000 blm sesuai9. Labeling di kode komponen 010202020800000000 blm sesuai10. Labeling di kode komponen 010202020900000000 blm sesuai11. Label di kode komponen 010202021100000000 blm sesuai12. Label di kode komponen 010202030000000000 blm sesuai13. pesan error terkait karakter redunden untuk semua kode komponen",Mayor,1 tanda double 2 kode komponen 010201090000000000 penjumlahan 3 kolom muncul 4 kolom pos penambahan tidak check kode komponen tercantum kalimat 3 labeling kode komponen 010202010200000000 belum sesuai 4 labeling kode komponen 010202011400000000 belum sesuai 5 labeling kode komponen 010202020100000000 belum sesuai 6 labeling kode komponen 010202020200000000 belum sesuai 7 labeling kode komponen 010202020300000000 belum sesuai 8 labeling kode komponen 010202020700000000 belum sesuai 9 labeling kode komponen 010202020800000000 belum sesuai 10 labeling kode komponen 010202020900000000 belum sesuai 11 label kode komponen 010202021100000000 belum sesuai 12 label kode komponen 010202030000000000 belum sesuai 13 pesan error terkait karakter redunden kode komponen
"pada hasil log error muncul keterangan hanya header, tetapi pada strukdat terdapat penyesuaian panjang max pada stuktur detail",Mayor,hasil log error muncul terangan header struktur data penyesuaian max stuktur detail
"1) nama kolom 3 dan 5 pada client tidak sesuai strukdat2) panjang max pada persentase tidak sesuai strukdat3) kolom negara kategorinya hanya angka tapi saat dites angka&huruf tetap lolos validasi, tidak ada pesan error ""hanya angka""4) kolom nama kategorinya angka huruf, tapi dites isi karakter saja tetap lolos validasi5) di txt ada kolom ""keterangan"" sedangkan di strukdat tidak ada kolom keterangan dan saat dites panjang max muncul log errornya6) keterangannya tidak sesuai referensi",Mayor,1 nama kolom 3 5 client tidak sesuai struktur data 2 max persentase tidak sesuai struktur data 3 kolom negara kategorinya angka dites angka huruf lolos validasi tidak pesan error angka 4 kolom nama kategorinya angka huruf dites isi karakter lolos validasi 5 txt kolom keterangan gkan struktur data tidak kolom terangan dites max muncul log error 6 terangannya tidak sesuai referensi
